DayofMonth,UniqueCarrier,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance
17,US,23,-2,-7,CAK,PIT,70
18,US,19,-10,-4,CAK,PIT,70
19,US,19,-4,-3,CAK,PIT,70
11,US,46,-16,-4,PIT,SYR,279
16,US,43,-9,-1,PIT,SYR,279
17,US,44,-12,-2,PIT,SYR,279
18,US,45,-1,-5,PIT,SYR,279
19,US,46,-3,-3,PIT,SYR,279
11,US,35,4,-4,CLT,TYS,177
14,US,39,-3,-3,CLT,TYS,177
15,US,34,14,18,CLT,TYS,177
16,US,35,-2,-4,CLT,TYS,177
17,US,36,-7,-5,CLT,TYS,177
11,US,33,-12,-8,RDU,CLT,130
16,US,30,-8,-3,RDU,CLT,130
17,US,34,0,1,RDU,CLT,130
18,US,30,-6,-6,RDU,CLT,130
19,US,28,-11,-2,RDU,CLT,130
11,US,NA,NA,-6,DFW,PIT,1068
14,US,136,26,30,DFW,PIT,1068
15,US,136,10,8,DFW,PIT,1068
17,US,134,-6,1,DFW,PIT,1068
18,US,132,-6,1,DFW,PIT,1068
19,US,124,-22,-6,DFW,PIT,1068
13,US,27,109,111,CLT,CHS,168
14,US,36,56,55,CLT,CHS,168
15,US,34,41,-1,CLT,CHS,168
17,US,28,-14,-3,CLT,CHS,168
18,US,30,-11,-5,CLT,CHS,168
19,US,32,1,-2,CLT,CHS,168
11,US,77,2,-5,ABE,CLT,481
15,US,70,-13,-5,ABE,CLT,481
16,US,75,-10,-8,ABE,CLT,481
17,US,76,-6,-9,ABE,CLT,481
18,US,71,-10,-6,ABE,CLT,481
19,US,71,-12,-4,ABE,CLT,481
15,US,34,-6,-3,CLT,ILM,185
16,US,34,-2,-4,CLT,ILM,185
17,US,38,4,-1,CLT,ILM,185
18,US,32,-9,-3,CLT,ILM,185
19,US,31,-10,-5,CLT,ILM,185
14,US,172,123,116,DFW,PHL,1302
16,US,165,2,-2,DFW,PHL,1302
17,US,160,-10,-8,DFW,PHL,1302
18,US,175,12,-3,DFW,PHL,1302
19,US,171,27,13,DFW,PHL,1302
13,US,47,78,91,PHL,MHT,290
14,US,58,127,126,PHL,MHT,290
15,US,62,68,58,PHL,MHT,290
16,US,58,3,5,PHL,MHT,290
17,US,57,23,5,PHL,MHT,290
18,US,54,15,1,PHL,MHT,290
19,US,58,9,-3,PHL,MHT,290
14,US,68,1,2,ALB,PIT,367
15,US,64,2,8,ALB,PIT,367
17,US,63,-10,-9,ALB,PIT,367
18,US,63,-8,-5,ALB,PIT,367
19,US,66,-8,-9,ALB,PIT,367
14,US,53,-16,-5,PIT,RDU,328
15,US,55,-12,-4,PIT,RDU,328
18,US,55,-7,-2,PIT,RDU,328
19,US,54,-12,-7,PIT,RDU,328
13,US,57,1,12,CLT,PIT,366
15,US,64,18,19,CLT,PIT,366
16,US,54,42,34,CLT,PIT,366
17,US,56,32,17,CLT,PIT,366
18,US,67,3,-5,CLT,PIT,366
19,US,61,-1,-4,CLT,PIT,366
17,US,29,-16,-5,PIT,CRW,164
18,US,29,-9,-2,PIT,CRW,164
19,US,37,-4,-2,PIT,CRW,164
14,US,64,27,26,RDU,PIT,328
15,US,60,-5,-3,RDU,PIT,328
17,US,63,-8,-5,RDU,PIT,328
18,US,60,-4,1,RDU,PIT,328
19,US,57,-13,-5,RDU,PIT,328
13,US,105,33,48,MCO,PIT,834
15,US,124,1,4,MCO,PIT,834
16,US,103,-2,20,MCO,PIT,834
17,US,116,-3,-5,MCO,PIT,834
18,US,122,-6,-6,MCO,PIT,834
19,US,110,-10,-4,MCO,PIT,834
11,US,25,-9,-1,GSO,CLT,83
14,US,25,341,338,GSO,CLT,83
16,US,22,-8,1,GSO,CLT,83
18,US,20,-14,-4,GSO,CLT,83
19,US,19,-11,-3,GSO,CLT,83
16,US,35,48,56,PIT,DAY,215
17,US,36,-8,-1,PIT,DAY,215
18,US,36,-10,-7,PIT,DAY,215
19,US,41,8,-3,PIT,DAY,215
14,US,77,68,65,ATL,PIT,526
16,US,77,-11,-5,ATL,PIT,526
17,US,77,-8,-3,ATL,PIT,526
18,US,76,-3,-4,ATL,PIT,526
19,US,77,-3,-2,ATL,PIT,526
16,US,32,-11,-3,PIT,MDT,185
18,US,34,-10,-4,PIT,MDT,185
19,US,34,-12,-4,PIT,MDT,185
14,US,52,148,158,PIT,CLT,366
15,US,53,6,13,PIT,CLT,366
17,US,52,-3,8,PIT,CLT,366
18,US,51,-6,-5,PIT,CLT,366
19,US,58,-6,-6,PIT,CLT,366
14,US,53,-6,5,PHL,PWM,365
17,US,60,-11,-6,PHL,PWM,365
18,US,57,-9,-3,PHL,PWM,365
19,US,57,-13,-5,PHL,PWM,365
13,US,39,-11,-4,ATL,CLT,227
14,US,44,-6,-3,ATL,CLT,227
15,US,42,-4,-6,ATL,CLT,227
16,US,38,-14,-3,ATL,CLT,227
17,US,43,-4,-4,ATL,CLT,227
14,US,22,-11,-4,CLT,GSO,83
15,US,20,-5,3,CLT,GSO,83
16,US,20,-16,-4,CLT,GSO,83
17,US,22,-4,3,CLT,GSO,83
18,US,23,-13,-5,CLT,GSO,83
19,US,21,-6,-2,CLT,GSO,83
14,US,81,7,23,CLT,BDL,644
15,US,87,-9,-4,CLT,BDL,644
16,US,84,48,46,CLT,BDL,644
17,US,86,18,19,CLT,BDL,644
18,US,85,-13,-9,CLT,BDL,644
19,US,87,-9,-5,CLT,BDL,644
11,US,NA,NA,-2,MCI,CLT,809
14,US,107,8,13,MCI,CLT,809
15,US,102,-17,-3,MCI,CLT,809
17,US,99,32,47,MCI,CLT,809
18,US,103,-12,-2,MCI,CLT,809
19,US,110,-9,-2,MCI,CLT,809
15,US,79,30,28,CLT,TPA,508
17,US,71,0,12,CLT,TPA,508
17,US,73,-14,-4,CLT,DTW,500
14,US,94,216,210,MIA,CLT,650
15,US,92,-2,0,MIA,CLT,650
16,US,99,-5,-6,MIA,CLT,650
17,US,99,12,8,MIA,CLT,650
18,US,105,5,-8,MIA,CLT,650
19,US,111,12,-7,MIA,CLT,650
15,US,146,23,30,MIA,PHL,1013
17,US,150,-7,-5,MIA,PHL,1013
18,US,138,-21,-4,MIA,PHL,1013
19,US,129,-25,-7,MIA,PHL,1013
15,US,44,26,26,PHL,PVD,238
17,US,46,-15,-4,PHL,PVD,238
18,US,43,-11,1,PHL,PVD,238
19,US,44,-11,-4,PHL,PVD,238
15,US,91,117,117,CLT,BDL,644
17,US,91,0,-1,CLT,BDL,644
18,US,79,-10,0,CLT,BDL,644
19,US,92,-2,-5,CLT,BDL,644
11,US,30,18,-3,GSP,CLT,75
16,US,19,-15,-4,GSP,CLT,75
17,US,18,-14,-3,GSP,CLT,75
18,US,23,-8,-6,GSP,CLT,75
19,US,35,1,-5,GSP,CLT,75
11,US,58,5,-4,CLT,BWI,361
14,US,55,-10,-2,CLT,BWI,361
15,US,57,20,16,CLT,BWI,361
16,US,60,-1,-1,CLT,BWI,361
18,US,57,-14,-4,CLT,BWI,361
19,US,56,-13,-4,CLT,BWI,361
11,US,42,-9,-6,SAV,CLT,213
17,US,39,-10,-6,SAV,CLT,213
18,US,42,-3,-6,SAV,CLT,213
19,US,46,-3,-6,SAV,CLT,213
15,US,70,-4,-5,CLT,IND,428
16,US,68,-9,-4,CLT,IND,428
17,US,68,1,9,CLT,IND,428
14,US,85,22,1,PIT,HPN,345
17,US,57,-16,-2,PIT,HPN,345
18,US,60,-15,-6,PIT,HPN,345
19,US,64,-8,-5,PIT,HPN,345
14,US,82,20,26,CLT,LGA,544
16,US,80,30,32,CLT,LGA,544
17,US,75,43,59,CLT,LGA,544
18,US,90,0,-5,CLT,LGA,544
19,US,74,-22,-3,CLT,LGA,544
14,US,51,-4,-4,BNA,CLT,329
15,US,52,-10,-6,BNA,CLT,329
16,US,54,-1,-7,BNA,CLT,329
17,US,53,-7,-6,BNA,CLT,329
18,US,52,-4,-3,BNA,CLT,329
19,US,54,11,10,BNA,CLT,329
13,US,56,181,192,CLT,PIT,366
14,US,60,8,7,CLT,PIT,366
15,US,79,7,-5,CLT,PIT,366
16,US,57,-7,-5,CLT,PIT,366
17,US,55,-12,-6,CLT,PIT,366
18,US,63,-7,-5,CLT,PIT,366
19,US,63,-3,-4,CLT,PIT,366
16,US,59,22,14,EWR,PIT,319
17,US,58,-22,-3,EWR,PIT,319
18,US,56,-20,-5,EWR,PIT,319
19,US,56,-9,-2,EWR,PIT,319
11,US,121,0,-7,PBI,DCA,857
15,US,68,-19,-3,DTW,PHL,453
18,US,77,0,-7,DTW,PHL,453
19,US,91,4,-6,DTW,PHL,453
15,US,58,-6,-1,PHL,RDU,336
18,US,56,1,-4,PHL,RDU,336
19,US,58,-2,-5,PHL,RDU,336
11,US,43,-14,-1,LGA,ROC,254
15,US,44,-23,-7,LGA,ROC,254
17,US,42,-14,-1,LGA,ROC,254
18,US,44,-12,-3,LGA,ROC,254
19,US,40,-12,-4,LGA,ROC,254
11,US,114,2,-1,JAX,PHL,742
14,US,99,6,0,JAX,PHL,742
16,US,96,-20,-3,JAX,PHL,742
17,US,105,-10,-2,JAX,PHL,742
18,US,149,34,-3,JAX,PHL,742
19,US,121,6,-4,JAX,PHL,742
15,US,91,-9,7,CLT,ORD,599
17,US,89,-11,-4,CLT,ORD,599
18,US,93,-13,-6,CLT,ORD,599
19,US,88,-25,-4,CLT,ORD,599
11,US,92,-1,-10,SRQ,CLT,547
16,US,78,-8,2,SRQ,CLT,547
17,US,81,-13,-8,SRQ,CLT,547
18,US,79,-17,-9,SRQ,CLT,547
19,US,92,-5,-7,SRQ,CLT,547
14,US,63,159,180,CMH,PHL,405
15,US,57,15,43,CMH,PHL,405
16,US,68,-12,4,CMH,PHL,405
17,US,69,-26,-6,CMH,PHL,405
18,US,78,-13,-6,CMH,PHL,405
19,US,84,-6,-4,CMH,PHL,405
15,US,36,21,41,PHL,ORF,211
18,US,38,-25,-3,PHL,ORF,211
19,US,40,-16,-4,PHL,ORF,211
14,US,87,9,20,CLT,ORD,599
15,US,86,-15,-2,CLT,ORD,599
16,US,89,-7,0,CLT,ORD,599
17,US,88,-5,-4,CLT,ORD,599
18,US,97,1,0,CLT,ORD,599
19,US,97,-1,-4,CLT,ORD,599
14,US,36,-12,-11,ILM,CLT,185
15,US,32,-15,-9,ILM,CLT,185
16,US,35,-13,-6,ILM,CLT,185
17,US,37,-7,-3,ILM,CLT,185
18,US,36,-6,-6,ILM,CLT,185
19,US,39,13,5,ILM,CLT,185
14,US,127,62,52,PBI,PHL,951
15,US,147,7,6,PBI,PHL,951
16,US,127,-11,-3,PBI,PHL,951
17,US,135,-1,-3,PBI,PHL,951
18,US,133,-9,-10,PBI,PHL,951
19,US,153,7,-9,PBI,PHL,951
16,US,65,-24,-5,CLT,CLE,430
17,US,78,1,-5,CLT,CLE,430
18,US,66,-19,-6,CLT,CLE,430
19,US,69,-10,-2,CLT,CLE,430
14,US,83,-17,-5,RSW,CLT,600
16,US,85,-15,-10,RSW,CLT,600
17,US,97,-2,-10,RSW,CLT,600
18,US,91,-22,-17,RSW,CLT,600
19,US,89,-11,-13,RSW,CLT,600
16,US,34,-2,-4,CLT,CHS,168
17,US,35,0,-3,CLT,CHS,168
18,US,31,-10,-5,CLT,CHS,168
19,US,32,-6,-4,CLT,CHS,168
11,US,92,7,-2,LGA,CLT,544
16,US,81,-18,5,LGA,CLT,544
17,US,83,-14,4,LGA,CLT,544
18,US,81,-27,-3,LGA,CLT,544
19,US,80,-25,-1,LGA,CLT,544
16,US,36,-4,-6,MDT,PIT,185
18,US,35,-7,-4,MDT,PIT,185
19,US,36,-9,-6,MDT,PIT,185
16,US,78,-13,-8,SRQ,CLT,547
17,US,78,-11,-5,SRQ,CLT,547
18,US,78,-10,-11,SRQ,CLT,547
19,US,81,-16,-8,SRQ,CLT,547
14,US,127,70,82,PIT,FLL,994
15,US,134,-9,-1,PIT,FLL,994
17,US,137,-2,-2,PIT,FLL,994
18,US,137,-7,-6,PIT,FLL,994
19,US,137,-4,-3,PIT,FLL,994
11,US,67,-20,-4,LGA,RDU,431
17,US,68,-19,-6,LGA,RDU,431
18,US,69,-14,4,LGA,RDU,431
19,US,62,-22,-4,LGA,RDU,431
16,US,60,-6,-1,PIT,ORF,330
17,US,62,-4,-2,PIT,ORF,330
18,US,60,-6,-3,PIT,ORF,330
19,US,59,-3,-3,PIT,ORF,330
16,US,86,25,42,CLT,MIA,650
17,US,89,3,13,CLT,MIA,650
18,US,84,-14,-3,CLT,MIA,650
19,US,86,-26,-6,CLT,MIA,650
11,US,81,16,-3,LGA,CLT,544
16,US,79,-14,-2,LGA,CLT,544
19,US,79,-21,-3,LGA,CLT,544
11,US,54,-1,-3,PIT,RIC,259
17,US,47,6,10,PIT,RIC,259
18,US,49,28,28,PIT,RIC,259
19,US,49,34,40,PIT,RIC,259
11,US,42,-4,-6,RIC,PHL,198
15,US,39,-10,-6,RIC,PHL,198
16,US,37,-15,-5,RIC,PHL,198
17,US,40,-10,-7,RIC,PHL,198
18,US,53,5,-3,RIC,PHL,198
19,US,45,2,-3,RIC,PHL,198
14,US,89,0,11,MSP,PIT,726
15,US,91,-17,-8,MSP,PIT,726
16,US,92,-12,-5,MSP,PIT,726
17,US,91,-11,-5,MSP,PIT,726
18,US,91,-16,-8,MSP,PIT,726
19,US,94,-10,-7,MSP,PIT,726
15,US,46,-4,8,PIT,RIC,259
16,US,45,-14,-2,PIT,RIC,259
17,US,47,-12,-3,PIT,RIC,259
18,US,45,-13,-1,PIT,RIC,259
19,US,47,-10,-2,PIT,RIC,259
15,US,70,3,9,TPA,CLT,508
16,US,71,-14,-6,TPA,CLT,508
18,US,75,-4,-2,TPA,CLT,508
19,US,72,5,14,TPA,CLT,508
11,US,66,-4,-5,EWR,PIT,319
18,US,64,-12,-6,EWR,PIT,319
19,US,69,-5,4,EWR,PIT,319
14,US,105,1,19,PIT,MCI,773
16,US,107,-13,-3,PIT,MCI,773
17,US,117,-10,-5,PIT,MCI,773
18,US,115,18,24,PIT,MCI,773
19,US,115,-5,-6,PIT,MCI,773
16,US,95,-16,-5,CLT,BOS,728
17,US,97,-16,-8,CLT,BOS,728
18,US,102,-11,-7,CLT,BOS,728
19,US,90,-16,-6,CLT,BOS,728
13,US,70,14,17,TPA,CLT,508
16,US,71,-9,-5,TPA,CLT,508
17,US,72,-5,-6,TPA,CLT,508
18,US,73,-3,-6,TPA,CLT,508
19,US,69,-8,-5,TPA,CLT,508
16,US,63,-4,2,PIT,EWR,319
17,US,55,-21,-4,PIT,EWR,319
18,US,63,-9,-8,PIT,EWR,319
19,US,56,-24,-4,PIT,EWR,319
15,US,121,78,85,TPA,PIT,873
16,US,114,20,32,TPA,PIT,873
17,US,116,-11,-8,TPA,PIT,873
18,US,123,-8,-7,TPA,PIT,873
14,US,43,5,20,PHL,SYR,228
17,US,19,-9,-2,CLT,CAE,88
18,US,19,-13,-1,CLT,CAE,88
19,US,21,-8,-4,CLT,CAE,88
14,US,79,109,116,DTW,CLT,500
17,US,82,-10,-8,DTW,CLT,500
18,US,71,-19,-4,DTW,CLT,500
19,US,84,-3,-6,DTW,CLT,500
16,US,70,11,29,PIT,BOS,496
17,US,77,-7,-4,PIT,BOS,496
18,US,73,-13,-4,PIT,BOS,496
19,US,71,-18,-3,PIT,BOS,496
13,US,113,7,15,TPA,PIT,873
15,US,125,114,107,TPA,PIT,873
16,US,113,-5,2,TPA,PIT,873
17,US,119,-3,-2,TPA,PIT,873
18,US,129,6,0,TPA,PIT,873
19,US,120,-8,-3,TPA,PIT,873
11,US,37,-1,-3,DTW,PIT,201
14,US,32,3,7,DTW,PIT,201
16,US,35,-8,-3,DTW,PIT,201
18,US,38,0,-7,DTW,PIT,201
19,US,37,-2,-6,DTW,PIT,201
17,US,58,-12,-6,LGA,PIT,335
18,US,57,-28,-3,LGA,PIT,335
19,US,74,-2,-3,LGA,PIT,335
16,US,124,5,16,MCI,PHL,1038
18,US,139,-10,-4,MCI,PHL,1038
19,US,130,-14,-3,MCI,PHL,1038
15,US,45,-25,-2,PHL,BOS,280
18,US,48,-15,-5,PHL,BOS,280
19,US,45,-19,-5,PHL,BOS,280
16,US,69,-7,-2,BNA,PIT,462
17,US,68,-11,-4,BNA,PIT,462
18,US,68,-5,-6,BNA,PIT,462
19,US,68,-12,-6,BNA,PIT,462
14,US,33,-3,0,CLT,ILM,185
17,US,32,113,118,CLT,ILM,185
18,US,32,-11,-3,CLT,ILM,185
19,US,30,-11,0,CLT,ILM,185
14,US,23,11,7,GSP,CLT,75
16,US,19,-3,-2,GSP,CLT,75
17,US,20,-3,-5,GSP,CLT,75
15,US,110,-2,-4,BOS,CLT,728
16,US,104,-18,-6,BOS,CLT,728
17,US,136,11,-2,BOS,CLT,728
18,US,106,-24,-7,BOS,CLT,728
19,US,111,-18,-8,BOS,CLT,728
14,US,93,28,21,CLT,PBI,590
15,US,82,8,12,CLT,PBI,590
16,US,84,4,4,CLT,PBI,590
17,US,83,-6,-1,CLT,PBI,590
18,US,82,-3,-2,CLT,PBI,590
19,US,89,14,-3,CLT,PBI,590
15,US,70,-12,-1,TPA,CLT,508
16,US,76,11,8,TPA,CLT,508
17,US,73,-8,-5,TPA,CLT,508
11,US,55,-19,-6,HPN,PIT,345
15,US,59,22,28,HPN,PIT,345
18,US,57,-13,-1,HPN,PIT,345
19,US,65,11,12,HPN,PIT,345
17,US,67,-15,-2,PIT,MKE,431
18,US,75,-4,-6,PIT,MKE,431
19,US,76,-3,-2,PIT,MKE,431
14,US,45,-31,-5,CLT,ATL,227
17,US,50,-20,-1,CLT,ATL,227
18,US,45,-33,-4,CLT,ATL,227
19,US,46,-19,1,CLT,ATL,227
15,US,32,-1,7,CLT,MYR,156
16,US,32,-12,-4,CLT,MYR,156
17,US,29,-11,-2,CLT,MYR,156
18,US,31,-9,-5,CLT,MYR,156
19,US,32,-7,-3,CLT,MYR,156
15,US,81,-31,-4,LGA,CLT,544
17,US,83,-25,-5,LGA,CLT,544
18,US,82,-7,-8,LGA,CLT,544
19,US,87,-9,-7,LGA,CLT,544
16,US,73,1,16,PIT,BOS,496
17,US,69,-9,-3,PIT,BOS,496
18,US,74,0,0,PIT,BOS,496
19,US,74,-6,1,PIT,BOS,496
15,US,126,45,48,RSW,PIT,966
16,US,125,-15,-10,RSW,PIT,966
17,US,122,-10,-5,RSW,PIT,966
18,US,122,-14,-7,RSW,PIT,966
19,US,122,-9,-9,RSW,PIT,966
14,US,76,22,30,GSO,LGA,461
16,US,72,-12,0,GSO,LGA,461
17,US,68,-17,-8,GSO,LGA,461
18,US,73,-16,-7,GSO,LGA,461
19,US,69,5,16,GSO,LGA,461
14,US,50,-20,0,LGA,BUF,292
16,US,60,-23,-8,LGA,BUF,292
17,US,49,-30,-5,LGA,BUF,292
18,US,50,-25,-3,LGA,BUF,292
19,US,51,-29,-8,LGA,BUF,292
11,US,102,4,-5,ALB,CLT,646
14,US,103,0,2,ALB,CLT,646
15,US,99,-13,-3,ALB,CLT,646
16,US,98,191,200,ALB,CLT,646
17,US,100,-6,0,ALB,CLT,646
18,US,99,-9,-8,ALB,CLT,646
19,US,97,-16,-7,ALB,CLT,646
14,US,41,28,42,CLT,ATL,227
15,US,38,-18,-2,CLT,ATL,227
16,US,40,20,32,CLT,ATL,227
17,US,43,-4,0,CLT,ATL,227
18,US,39,-11,-2,CLT,ATL,227
19,US,43,-14,-4,CLT,ATL,227
11,US,53,-16,-2,ORF,LGA,296
17,US,53,-17,-4,ORF,LGA,296
18,US,58,-1,-5,ORF,LGA,296
19,US,57,13,3,ORF,LGA,296
14,US,43,-1,-1,CLT,RIC,256
17,US,40,-5,-4,CLT,RIC,256
18,US,44,0,-1,CLT,RIC,256
19,US,42,-7,0,CLT,RIC,256
15,US,116,-8,-2,MSP,CLT,930
18,US,115,2,-1,MSP,CLT,930
19,US,114,-15,-9,MSP,CLT,930
11,US,NA,NA,-4,IAH,CLT,913
14,US,118,34,26,IAH,CLT,913
17,US,116,20,25,IAH,CLT,913
18,US,121,6,0,IAH,CLT,913
19,US,119,-2,-2,IAH,CLT,913
14,US,53,22,34,CLT,IAD,321
16,US,52,-9,-2,CLT,IAD,321
17,US,51,-12,-3,CLT,IAD,321
18,US,56,10,0,CLT,IAD,321
19,US,53,3,15,CLT,IAD,321
15,US,75,-16,-6,SRQ,CLT,547
16,US,84,-10,-9,SRQ,CLT,547
17,US,83,-10,-10,SRQ,CLT,547
18,US,85,-4,-4,SRQ,CLT,547
19,US,82,-6,-3,SRQ,CLT,547
16,US,99,-16,-5,BOS,CLT,728
17,US,100,-16,-4,BOS,CLT,728
18,US,98,-14,-5,BOS,CLT,728
19,US,105,-21,-5,BOS,CLT,728
11,US,56,5,-4,CLT,PIT,366
14,US,60,-2,3,CLT,PIT,366
15,US,54,-2,-6,CLT,PIT,366
18,US,57,-9,-4,CLT,PIT,366
19,US,70,5,-5,CLT,PIT,366
13,US,146,121,139,PHL,MSP,980
15,US,134,19,19,PHL,MSP,980
16,US,140,-22,3,PHL,MSP,980
17,US,137,80,113,PHL,MSP,980
18,US,142,-30,-4,PHL,MSP,980
19,US,126,-46,-4,PHL,MSP,980
14,US,69,78,89,PVD,PIT,467
15,US,78,-4,0,PVD,PIT,467
16,US,72,16,20,PVD,PIT,467
17,US,75,-8,-4,PVD,PIT,467
18,US,75,-9,-3,PVD,PIT,467
